Year,Material
2,Stone
16,Ink and pi
2,Phyllite
3,Faience wi
4,Bronze
8,Sandstone 
9,Basalt
11,High-fired
13,Fritware w
13,Fritware w
16,Ink and pi
16,Tempera on
17,Fritware w
7,Brass with
7,Hammered a
10,Ceramic wi
1,Bronze//wo
3,Pen and br
5,Gold
5,Bronze
7,Ivory
10,Gold
10,Gold
10,Ivory
10,Mosaic
11,Ivory
14,Stoneware 
14,Bronze
14,Leaded bro
15,Leaded bro
16,Gilt on wo
17,Gold and s
11,Parchment 
13,Wood (sand
13,Ivory with
13,Marble
13,Tempera on
15,Bronze//bl
15,Engraving
15,Bronze
15,Hand-color
15,Metalpoint
16,Pen and br
16,Pen and br
16,Engraving
16,Partially 
16,Pen and br
16,Pen and br
16,Engraving 
16,Bronze//li
16,Bronze
17,Pen and br
17,Red chalk 
17,Engraving 
17,Red chalk 
17,Bronze
17,Oil on can
17,Marble
17,Black chal
17,Etching an
18,Ivory set 
18,Wool pile
18,Iron and g
18,Black
18,Pen and br
18,Pen and br
18,Pen and br
18,Pen and br
18,Bronze
18,Pen and br
18,Pen and br
18,Red chalk 
18,Oil on woo
18,Etching
18,Red-brown 
18,Oil on can
18,Pen and br
18,Bronze//me
18,Pen and br
19,Etching wi
19,Bronze
19,Pen and br
19,Etching on
19,Pen and br
19,Oil on can
19,Black chal
19,Oil on fab
19,Lithograph
27,Marble
50,Painted ca
130,Marble
161,Marble
200,Slip-paint
300,Earthenwar
375,Terracotta
460,Terracotta
500,Unslipped 
600,Ceramic
650,Ivory
675,Bronze
700,Andesite
883,Alabaster
900,Jadeite wi
900,Silver
1000,Bronze
1000,Bronze
1025,Ink
1070,Wool embro
1100,Basalt
1110,Sandstone
1130,Ink and pi
1140,Limestone
1150,Champlevé 
1239,Tempera an
1240,Gilded cop
1246,Brass with
1250,Ink and pi
1250,Ink and pi
1250,Ink and pi
1250,Ink and pi
1250,Ink and pi
1250,Ink and pi
1250,Neutral gr
1250,Tempera on
1250,Carved lim
1260,Glass with
1262,Ink
1262,Ink
1262,Ink
1262,Ink
1262,Parchment 
1270,Tempera an
1270,Tempera on
1290,Brass with
1300,Basalt
1308,Tempera on
1308,Tempera on
1320,Tempera on
1320,Miniature 
1324,Tempera on
1325,Pen and bl
1330,Ivory with
1330,Tempera on
1335,Tempera on
1342,Gold with 
1347,Gilded sil
1350,Tempera an
1350,Tempera on
1369,Pen and br
1380,Ink
1385,Tempera on
1390,Oil on can
1390,Miniature 
1390,Silver
1392,Carved woo
1392,Album leaf
1392,Wheel-thro
1392,Hanging sc
1400,Unfired cl
1400,Oil and te
1400,Tempera on
1400,Tempera on
1400,Tempera on
1400,Miniature 
1400,Pen and br
1410,Oil and go
1410,Oil on pan
1411,Manuscript
1411,Manuscript
1411,Manuscript
1411,Manuscript
1411,Manuscript
1415,Tempera on
1420,Painted en
1420,Pen and in
1420,Pen and in
1420,Pen and in
1420,Pen and in
1423,Marble
1425,Gilt Bronz
1425,Tempera an
1425,Painted an
1425,Woodcut
1426,Fresco
1426,Tempera an
1428,Bronze
1429,Tempera on
1430,Tempera an
1430,Tempera on
1430,Tempera (?
1430,Tempera (?
1430,Tempera on
1430,Tempera on
1430,Tempera on
1430,Tempera on
1432,Oil on pan
1433,Oil on oak
1434,Oil on woo
1435,Oil on pan
1435,Tempera on
1440,Woodcut
1440,Bronze
1440,Woodcut
1440,Woodcut
1440,Painted an
1440,Woodcut
1440,Engraving
1440,Pen and br
1442,Pen and br
1444,Bronze
1444,Bronze
1445,Lead
1445,Tempera on
1445,Tempera on
1445,Bronze
1445,Tempera on
1445,Tempera on
1446,Bronze
1446,Bronze
1446,Bronze
1446,Bronze
1446,Bronze
1446,Bronze
1447,Lead
1447,Lead
1449,Bronze//la
1449,Woodcut
1450,Tempera on
1450,Alabaster
1450,Tempera on
1450,Woodcut
1450,Woodcut
1450,Bronze
1450,Woodcut
1450,Engraving 
1450,Woodcut in
1450,Woodcut
1450,Woodcut
1450,Oil on pan
1450,Woodcut in
1450,Woodcut
1450,Woodcut
1450,Tempera on
1450,Engraving
1450,Engraving
1450,Alabaster 
1450,Woodcut
1454,Bronze//la
1455,Engraving
1458,Bronze
1460,Woodcut
1460,Woodcut
1460,Woodcut
1460,Tempera an
1460,Woodcut
1460,Tempera on
1460,Woodcut
1460,Woodcut
1460,Woodcut
1460,Metalcut
1460,Metalcut
1460,Metalcut
1460,Woodcut
1460,Woodcut
1460,Metalcut
1460,Woodcut
1460,Pen and in
1460,Engraving
1460,Woodcut
1460,Woodcut
1460,Engraving
1460,Woodcut
1460,Engraving
1460,Hand-color
1460,Metalcut
1460,Woodcut
1460,Metalcut
1460,Woodcut
1461,Tempera (?
1461,Marble
1465,Oil on pan
1465,Engraving
1465,Woodcut (b
1465,Engraving
1465,Bronze
1465,Engraving 
1465,Tempera (?
1465,Engraving 
1465,Engraving
1465,Engraving 
1465,Engraving 
1465,Engraving 
1465,Engraving
1465,Engraving 
1465,Engraving 
1465,Woodcut
1465,Engraving 
1465,Engraving 
1465,Engraving 
1465,Engraving 
1465,Engraving 
1465,Engraving
1465,Engraving 
1465,Engraving 
1465,Engraving 
1465,Engraving 
1465,Engraving
1465,Engraving
1465,Woodcut (b
1465,Bronze//la
1465,Engraving 
1465,Engraving 
1466,Woodcut in
1466,Bronze
1466,Engraving
1468,Tempera on
1470,Oil on pan
1470,Fritware
1470,Woodcut
1470,Metalcut
1470,Engraving
1470,Metalcut
1470,Tempera on
1470,Woodcut
1470,Oil on pan
1470,Tempera on
1470,Engraving 
1470,Engraving
1470,Metalcut
1470,Oil on pan
1470,Engraving
1470,Engraving 
1470,Woodcut in
1470,Miniature 
1470,Metalcut
1470,Metalcut
1470,Marble
1470,Engraving 
1470,Woodcut in
1470,Engraving
1470,Engraving
1470,Woodcut
1470,Engraving 
1470,Engraving
1470,Woodcut
1470,Woodcut
1470,Oil on pan
1470,Metalcut
1470,Woodcut
1470,Woodcut
1470,Engraving
1470,Engraving
1470,Woodcut in
1470,Pen and in
1470,Engraving
1470,Woodcut
1470,Hand color
1470,Engraving 
1470,Metalcut
1470,Woodcut
1470,Pen and in
1470,Engraving
1470,Oil on pan
1470,Engraving
1470,Niello pri
1470,Engraving
1472,Brass//wit
1474,Oil on pan
1474,Tempera on
1474,Tempera on
1475,Oil on pan
1475,Engraving
1475,Marble
1475,Oil on pan
1475,Engraving
1475,Engraving 
1475,Woodcut
1475,Pen and br
1475,Tempera on
1475,Hand-color
1475,Engraving
1475,Bronze
1475,Woodcut
1475,Marble
1475,Engraving
1475,Tempera an
1475,Bronze//me
1475,Drypoint
1475,Woodcut
1475,Woodcut
1475,Woodcut
1475,Engraving
1475,Woodcut in
1475,Engraving
1475,Oil and te
1475,Tempera on
1475,Engraving
1475,Engraving
1475,Engraving
1475,Bronze
1475,Hand-color
1475,Terracotta
1475,Engraving
1475,Marble
1475,Bronze
1475,Glazed ter
1475,Engraving
1475,Terracotta
1475,Oil on pan
1477,Oil on woo
1477,Bronze
1478,Tempera an
1478,Tempera on
1479,Hand-color
1480,Ink and pa
1480,Steel
1480,Oil and te
1480,Ink and pa
1480,Engraving
1480,Woodcut
1480,Engraving
1480,Engraving
1480,Engraving
1480,Engraving
1480,Oil on pan
1480,Engraving
1480,Engraving
1480,Metalcut
1480,Metalcut
1480,Woodcut
1480,Metalcut
1480,Engraving
1480,Engraving
1480,Engraving
1480,Woodcut
1480,Engraving
1480,Engraving
1480,Engraving
1480,Oil on pan
1480,Metalcut
1480,Woodcut in
1480,Engraving
1480,Engraving 
1480,Engraving
1480,Engraving
1480,Engraving
1480,Engraving
1480,Niello pri
1480,Engraving
1480,Engraving 
1480,Woodcut
1480,Metalcut
1480,Engraving
1480,Metalcut
1480,Engraving
1480,Oil on oak
1480,Bronze
1480,Woodcut in
1480,Engraving
1480,Niello pri
1480,Woodcut
1480,Woodcut
1480,Woodcut
1480,Metalcut
1480,Engraving
1480,Engraving
1480,Woodcut
1480,Engraving 
1480,Engraving
1480,Woodcut in
1480,Woodcut
1480,Engraving
1480,Engraving
1480,Engraving
1480,Engraving
1480,Paste prin
1480,Niello pri
1480,Pen and br
1480,Metalcut
1480,Paste prin
1480,Woodcut
1480,Engraving
1480,Woodcut
1480,Woodcut in
1480,Tempera on
1480,Engraving
1480,Woodcut
1480,Engraving
1480,Gilded sil
1482,Oil on pan
1482,Oil on pan
1483,Wood
1483,Marble
1483,Woodcut ha
1484,Bronze//la
1485,Engraving
1485,Pen and br
1485,Oil on pan
1485,Woodcut wi
1485,Engraving
1485,Woodcut in
1485,Woodcut
1485,Hand-color
1485,Woodcut
1485,Woodcut
1485,Gouache an
1485,Engraving
1486,Tempera on
1486,Bronze
1486,Bronze
1486,Woodcut
1488,Bronze
1488,Metalpoint
1488,Metalpoint
1490,Ink on pap
1490,Woodcut
1490,Woodcut
1490,Hand-color
1490,Engraving
1490,Engraving
1490,Woodcut on
1490,Engraving
1490,Hand-color
1490,Engraving
1490,Engraving
1490,Engraving 
1490,Engraving
1490,Engraving
1490,Engraving
1490,Hand-color
1490,Hand-color
1490,Engraving
1490,Niello pri
1490,Pen and bl
1490,Engraving 
1490,Engraving
1490,Engraving
1490,Hand-color
1490,Woodcut
1490,Hand-color
1490,Hand-color
1490,Hand-color
1490,Engraving
1490,Hand-color
1490,Hand-color
1490,Engraving
1490,Bronze
1490,Hand-color
1490,Woodcut
1490,Oil on pan
1490,Hand-color
1490,Woodcut
1490,Hand-color
1490,Woodcut
1490,Tempera on
1490,Engraving
1490,Engraving
1490,Woodcut
1490,Engraving
1490,Hand-color
1490,Marble
1490,Engraving
1490,Tempera on
1491,Tempera on
1491,Tempera on
1492,Bronze
1492,Bronze
1492,Oil on pan
1492,Woodcut
1492,Bronze
1492,Pen and bl
1492,Pen and bl
1492,Pen and bl
1493,Hand-color
1493,1 vol: ill
1493,Color wood
1494,Woodcut
1494,Silver tes
1495,Tempera on
1495,Oil on pan
1495,Oil on pan
1495,Engraving
1495,Oil on pan
1495,Engraving
1495,Tempera on
1495,Pen and bl
1495,Engraving
1495,Engraving
1495,Engraving
1495,Engraving
1495,Engraving
1495,Pen and br
1495,Oil on pan
1495,Oil on pan
1495,Engraving
1496,Tempera on
1496,Woodcut
1496,Engraving
1496,Engraving
1496,Woodcut
1496,Engraving
1496,Woodcut
1496,Woodcut
1496,Metalpoint
1496,Engraving
1496,Woodcut
1496,Woodcut on
1496,Woodcut
1496,Oil on pan
1496,Woodcut
1496,Woodcut
1496,Woodcut
1496,Engraving 
1497,Oil on can
1497,Pen and br
1497,Engraving
1497,Woodcut
1497,Engraving
1497,Engraving
1497,Woodcut
1497,Woodcut
1497,Woodcut on
1498,Woodcut
1498,Woodcut on
1498,Woodcut on
1498,Engraving
1498,Engraving
1498,Engraving
1498,Woodcut
1499,Woodcut
1499,Engraving
1500,Tempera on
1500,Fresco
1500,Woodcut
1500,Woodcut
1500,Pen and br
1500,Woodcut
1500,Oil on pan
1500,Woodcut wi
1500,Woodcut
1500,Woodcut
1500,Woodcut
1500,Woodcut
1500,Woodcut
1500,Woodcut
1500,Oil on pan
1500,Engraving
1500,Woodcut
1500,Oil on pan
1500,Painted an
1500,Woodcut
1500,Oil on pan
1500,Woodcut
1500,Woodcut
1500,Woodcut
1500,White line
1500,Oil on pan
1500,Woodcut
1500,Oil on pan
1500,Black chal
1500,Oil on can
1500,Oil on pan
1500,Silver tes
1500,Pen and br
1500,Pen and br
1500,Woodcut on
1500,Bronze//bl
1500,Engraving
1500,Oil (and p
1500,Walnut
1500,Engraving
1500,Engraving 
1500,Engraving
1500,Woodcut
1500,Engraving
1500,Engraving
1500,Red chalk 
1500,Engraving 
1500,Woodcut
1501,Pen and br
1501,Engraving
1501,Woodcut
1502,Bronze
1502,Woodcut
1502,Engraving
1502,Engraving
1502,Woodcut
1502,Engraving
1502,Woodcut
1502,Bronze
1502,Bronze//fo
1503,Oil on pop
1503,Woodcut
1503,Woodcut
1503,Woodcut
1503,Engraving
1503,Woodcut
1503,Woodcut
1504,Woodcut on
1504,Engraving
1504,Woodcut
1504,Woodcut
1504,Woodcut on
1505,Oil on pan
1505,Oil on pop
1505,Oil on pan
1505,Engraving
1505,Engraving
1505,Engraving
1505,Woodcut
1505,Engraving
1505,Engraving
1505,Engraving
1505,Woodcut on
1505,Woodcut
1505,Pen and br
1505,Engraving
1505,Oil on pan
1505,Oil on pan
1505,Woodcut
1505,Engraving
1505,Engraving
1505,Oil on pan
1505,Niello pri
1505,Oil on pan
1505,Engraving
1505,Pen and br
1506,Oil on lim
1506,Oil on pan
1506,Woodcut
1506,Engraving
1506,Woodcut
1506,Woodcut
1506,Oil on pan
1506,Woodcut
1506,Chiaroscur
1506,Woodcut
1507,Engraving
1507,Engraving
1507,Engraving
1507,Engraving
1507,Woodcut
1507,Engraving
1507,Bronze
1507,Engraving
1507,Engraving
1508,Engraving
1508,Engraving
1508,Oil on pan
1508,Engraving
1508,Oil on pan
1508,Silverpoin
1508,Engraving
1508,Engraving
1508,Engraving
1509,Woodcut
1509,Woodcut
1509,Woodcut
1509,Woodcut
1509,Engraving
1509,Oil on pan
1509,Woodcut
1509,Engraving
1509,Woodcut
1509,Engraving
1509,Woodcut
1509,Woodcut
1509,Woodcut
1509,Woodcut
1509,Woodcut
1509,Oil on pan
1509,Woodcut
1509,Woodcut
1509,Woodcut
1509,Woodcut
1509,Engraving
1509,Woodcut
1509,Woodcut
1509,Woodcut
1509,Engraving
1509,Woodcut on
1509,Woodcut
1509,Woodcut
1509,Woodcut
1509,Woodcut
1509,Engraving
1509,Woodcut
1509,Woodcut
1509,Woodcut
1509,Woodcut
